,time_auc,time_f1measure
0,0.82967033,0.703759398
1,0.708437761,0.726350779
2,0.725943396,0.707913257
3,0.676767677,0.664736592
4,0.692784488,0.704407713
5,0.808284024,0.620078492
6,0.683872768,0.667532644
7,0.714823009,0.741277593
8,0.699451411,0.731802085
9,0.650829082,0.67687629
10,0.741666667,0.744829042
11,0.793378995,0.77032967
12,0.785778175,0.727738153
13,0.678815629,0.657939756
14,0.707803223,0.63822314
15,0.716584158,0.596750688
16,0.801120448,0.730651141
17,0.78348554,0.752595231
18,0.780961792,0.663096008
19,0.832216171,0.738708688
20,0.785627178,0.744179163
21,0.76133429,0.762675656
22,0.683850365,0.763154259
23,0.774038462,0.758223334
24,0.862867647,0.812349328
25,0.957692308,0.905759975
26,0.845083488,0.856610004
27,0.652350814,0.649099416
28,0.825217391,0.770905508
29,0.8,0.768846528
30,0.766116352,0.790397924
31,0.883743842,0.821407381
32,0.809161491,0.772565838
33,0.811170213,0.772727273
34,0.77540107,0.717974453
35,0.782578875,0.742047191
36,0.803222656,0.662087912
37,0.733230134,0.613759214
38,0.716498104,0.778671087
39,0.614190687,0.599094845
40,0.513178295,0.648202115
41,0.6,0.748468048
42,0.901098901,0.664696111
43,0.78030303,0.761919496
44,0.723314607,0.732286099
45,0.732843137,0.681835155
46,0.580357143,0.424844284
47,0.301470588,0.423868313
48,0.529069767,0.384761905
49,0.855555556,0.407735843
