,time_auc,time_f1measure
0,0.810294118,0.820629779
1,0.833333333,0.909090909
2,0.849180328,0.887561032
3,0.783018868,0.854741379
4,0.928571429,0.914333205
5,0.5,0.666666667
6,0.833333333,0.773948149
7,0.796296296,0.873275178
8,0.870535714,0.599939184
9,0.722222222,0.69546488
10,0.872440622,0.842430779
11,0.837846154,0.768197225
12,0.776132404,0.688707999
13,0.790277778,0.771756979
14,0.862942613,0.758913018
15,0.899460709,0.864682846
16,0.802927928,0.808596715
17,0.857438017,0.85515873
18,0.875,0.866782007
19,0.843393449,0.770638718
20,0.859335038,0.755962039
21,0.772064777,0.7430305
22,0.904166667,0.81961945
23,0.870192308,0.797463966
24,0.505617978,0.671641791
25,0.630136986,0.773109244
26,0.875,0.933333333
28,0.912490922,0.823203138
29,0.88816568,0.820708867
30,0.841082803,0.817776948
31,0.815373563,0.794519043
32,0.836917563,0.803889836
33,0.888571429,0.720046224
34,0.812071331,0.813297206
35,0.688142174,0.672576279
36,0.80748497,0.736347201
37,0.745032468,0.677866553
38,0.76622549,0.709060804
39,0.794742164,0.753173723
40,0.870295699,0.817476079
41,0.789029304,0.728795305
42,0.651993795,0.626633248
43,0.761464088,0.633164051
44,0.775039282,0.699404762
45,0.778537075,0.749267417
46,0.762589928,0.724755645
47,0.807569808,0.774329712
48,0.837760675,0.787221894
49,0.854570293,0.780170735
50,0.83565446,0.750029566
51,0.837139465,0.691369897
52,0.852565965,0.776469957
53,0.901303476,0.849370484
54,0.816772152,0.777216611
55,0.797510625,0.754985923
56,0.680637255,0.798536999
57,0.734220907,0.827870592
58,0.752747253,0.799640326
59,0.725,0.840108401
60,0.82012394,0.711758695
61,0.809640523,0.740019234
62,0.294117647,0.367195767
63,0.470588235,0.290277778
64,0.787281593,0.674481944
65,0.727214432,0.6483417
66,0.610633549,0.8249713
67,0.627717391,0.84020202
68,0.763605442,0.733566434
69,0.855961844,0.852135329
70,0.808090024,0.80582007
71,0.832908163,0.669656875
72,0.736003355,0.821773843
73,0.903508772,0.868465544
74,0.837606838,0.72
75,0.769230769,0.701010101
76,0.883333333,0.772318029
77,0.75952381,0.818944354
78,0.819047619,0.765873084
79,0.863492063,0.827755894
80,0.8,0.81962482
81,0.94375,0.802440885
82,0.796070461,0.802058037
83,0.855,0.867881716
84,0.4,0.84457478
85,0.876013514,0.752070336
86,0.549493243,0.858276887
87,0.608695652,0.756756757
