,time_auc,time_f1measure
0,0.769507411,0.720165159
1,0.785314685,0.725401292
2,0.819575472,0.753410208
3,0.828065555,0.738024446
4,0.870098039,0.766829388
5,0.852727273,0.760423733
6,0.795074127,0.702472966
7,0.795642702,0.715846929
8,0.850542197,0.753271134
9,0.771723336,0.693590134
10,0.77994228,0.699907664
11,0.744291918,0.644151641
12,0.719807133,0.638220592
13,0.628004913,0.637347317
14,0.745279948,0.617563614
15,0.760854271,0.719902127
16,0.802447552,0.77657397
17,0.773442339,0.752415973
18,0.822773186,0.842693946
19,0.850904376,0.830929951
20,0.823611733,0.739759055
21,0.77092215,0.695379733
22,0.741172341,0.679832179
23,0.770573911,0.685007676
24,0.801493286,0.727858204
25,0.834124068,0.76382867
26,0.829344411,0.774990599
27,0.816288952,0.755451917
28,0.817967067,0.767321879
29,0.749749032,0.756368223
30,0.766374269,0.764698594
31,0.811543631,0.772564671
32,0.791005291,0.755840016
33,0.748763044,0.7209605
34,0.763118195,0.793404516
35,0.815131579,0.746554712
36,0.790650151,0.787464754
37,0.650967742,0.808700402
38,0.695792013,0.744192311
39,0.682840931,0.783990352
40,0.746828358,0.800017243
41,0.824937028,0.776787899
42,0.544867277,0.780072136
43,0.757349398,0.778143362
44,0.805330386,0.842561949
45,0.727212242,0.751938499
46,0.855079365,0.817668403
47,0.849811232,0.806016087
48,0.811904762,0.904092475
49,0.783148148,0.824498941
50,0.688649081,0.876481286
51,0.7859375,0.867316783
52,0.781315975,0.84559671
53,0.731927711,0.87030197
54,0.734100877,0.830673668
55,0.783679284,0.846550833
56,0.703510802,0.903561998
57,0.690439458,0.78981355
58,0.765970904,0.73760252
59,0.760115492,0.652813351
60,0.502071823,0.632555926
61,0.801964912,0.697721763
62,0.782938236,0.757614272
63,0.711767782,0.801645106
64,0.702187902,0.887909038
65,0.604950459,0.906770269
66,0.553450641,0.683280534
67,0.724972904,0.780304687
68,0.625062357,0.677811803
69,0.68256849,0.698832484
70,0.708201058,0.703431703
71,0.689199873,0.834774302
72,0.767958776,0.864145462
73,0.674102175,0.754288464
74,0.628224715,0.748174655
75,0.699740768,0.78386216
76,0.751939655,0.859182419
77,0.742066629,0.788329499
78,0.748276163,0.70970449
79,0.750187336,0.851284838
80,0.595651194,0.693367276
81,0.841825902,0.780183553
82,0.807962213,0.820648686
83,0.775348235,0.754134805
84,0.722186461,0.769567698
85,0.654956085,0.864785984
86,0.674263091,0.901798867
87,0.83290938,0.811607268
